abelo        : пчела
juvelo       : драгоценность; сокровище
jxaketo      : жакет, куртка
jxako        : переключатель
jxaluza      : ревнивый
jxami        : глушить
jxargono     : жаргон
jxauxdo      : четверг
jxeti        : бросать, кидать, метать
jxetkubo     : игральная кость
jxinso       : джинсы
jxuri        : клясться, присягать
jxurio       : жюри
jxurnalo     : газета; дневник
jxurrompanto : клятвопреступник
jxus         : только что
kabaredo     : кабаре
kabineto     : кабинет
kacxo        : каша, пюре; путаница, неразбериха
kadavro      : труп
kadenco      : ритм, темп; размер
kadro        : кадр; рама; рамка
kaduka       : ветхий, дряхлый
kafeterio    : кафетерий; закусочная
kafo         : кофе
kaj          : а, и
kajero       : тетрадь
kajo         : набережная; пристань; перрон, платформа
kakto        : кактус
kaldrono     : котёл
kalendaro    : календарь
kalkuli      : вычислять; считать; считаться
kalsono      : кальсоны; панталоны
kalumnii     : клеветать, чернить; позорить
kalva        : лысый
kamarado     : товарищ
kamelo       : верблюд
kamerao      : кинокамера
kamero       : кинокамера
kamiono      : грузовик
kampanjo     : кампания; акция
kampo        : поле
kanajlo      : каналья, негодяй, подлец
kanalo       : канал
kanario      : канарейка
kancelario   : канцелярия
kandidato    : кандидат
kano         : тростник
kanono       : орудие, пушка; канон; правило
kanti        : петь
kantono      : кантон
kaoso        : (haoso)               хаос
kapabla      : способный
kapitalo     : капитал
kapitan      : капитан
kapo         : голова
kapreolo     : косуля
kaprico      : каприз
kapro        : коза; козёл
kapti        : ловить, поймать; схватить
kaputa       : испорченный; разбитый; погибший
kara         : дорогой
karakterizi  : характеризовать
karaktero    : характер
karbo        : уголь
karcero      : карцер; тюрьма
karesi       : гладить, ласкать
kariero      : карьера
karikaturo   : карикатура
karitato     : милосердие, человеколюбие
karno        : плоть, тело
karoto       : морковь
karto        : карта; карточка
karuselo     : карусель
kasedo       : кассета
kaserolo     : кастрюля
kaso         : касса
kastelo      : замок
kasxi        : прятать; скрывать, утаивать
kataklismo   : катаклизм, катастрофа
katakombo    : катакомба
katalogo     : каталог
katastrofo   : катастрофа
katedralo    : собор
katedro      : кафедра
kategorio    : категория, разряд
kateno       : оковы, цепь
kato         : кот; кошка
katodo       : катод
kaucxuko     : каучук; резина
kauxzo       : основание, причина
kavaliro     : кавалер; рыцарь
kaverno      : каверна; пещера
kaviaro      : икра (еда)
kavo         : впадина, углубление; дупло; ров; яма
kazemato     : каземат
kazerno      : казарма
kazino       : казино
kazo         : падеж, случай
ke           : что; чтобы
kelka        : некоторый
kelkaj       : несколько
kelnero      : официант
kemio        : (ĥemio)      химия
kerno        : ядро; зерно, плод
kesto        : ящик
kia          : какой
kial         : почему
kiam         : когда
kibernetiko  : кибернетика
kie          : где
kiel         : как
kien         : куда
kies         : чей
kilogramo    : килограмм
kilometro    : километр
kinematografo : кинематограф, кино
kino         : кинематограф, кино
kio          : что
kiom         : сколько
kiraso       : броня; латы, панцирь
kirli        : взбалтывать, размешивать; вертеть, крушить
kisi         : целовать
kiu          : кто
kivio        : киви
klabo        : дубинка
klacxi       : сплетничать; судачить
klaki        : стучать, хлопать; щелкать
klano        : клан, род
klara        : светлый, ясный
klasifiki    : классификация
klasika      : классический
klaso        : класс
klavo        : клавиша
kleo         : ключ (музыкальный); атмосфера, настрой, характер
klera        : образованный, просвещённый
kliento      : клиент
klimato      : климат
klini        : нагибать, наклонять
kliniko      : клиника
klisxo       : клише
klopodi      : заботиться, стараться; хлопотать, ходатайствовать
klostro      : монастырь
klubo        : клуб
knabo        : мальчик; парень
knari        : скрипеть, хрустеть; трещать
knedi        : месить, мять
kobajo       : морская свинка
kodekso      : кодекс
kodo         : код
kohorto      : когорта
koincidi     : совпадать
koko         : петух
kokso        : бедро, ляжка; таз
kolbaso      : колбаса
kolego       : коллега
kolektivo    : коллектив
kolekto      : коллекция, собрание
koleri       : злиться, сердиться
kolhxozo     : колхоз
kolizii      : сталкиваться, вступать в конфликт
kolo         : шея
kolombo      : голубь
kolonio      : колония
koloro       : цвет; колорит, окраска; тембр
komandi      : командовать, приказывать
kombajno     : комбайн
kombi        : причесывать
kombini      : комбинировать, соединять, сочетать
komedio      : комедия
komenci      : начинать
komentarii   : комментировать
komenti      : комментировать
komerci      : заниматься коммерцией, торговать
komforto     : комфорт, удобство, уют
komisaro     : комиссар
komisii      : поручать
komisiono    : комиссия
komitato     : комитет
komizo       : продавец
komo         : запятая
kompanio     : компания
kompano      : приятель
kompari      : сравнивать
kompaso      : компас
kompati      : жалеть, сочувствовать
kompensi     : компенсировать, возмещать
kompetenta   : компетентный, сведущий
kompili      : компилировать; составлять
komplekso    : комплекс, совокупность
kompleta     : законченный, полный
komplezi     : быть любезным
komplika     : сложный; запутанный
komponi      : сочинять музыку; соединять (химический процесс)
komposti     : верстать; набирать (буквы)
kompreni     : понимать
kompromiso   : компромисс
komputi      : вычислять; считать
komsomolo    : комсомол
komuna       : общий, совместный
komuniki     : сообщать
komuti       : перемещать, переставлять; переводить, переключать
koncentri    : концентрировать
koncepto     : концепция; понятие, представление
koncerni     : касаться, относиться
koncerto     : концерт
konciza      : краткий; лаконичный
kondamni     : приговорить, осудить
kondicxo     : состояние; условие
kondolenci   : соболезновать
konduki      : вести; приводить к чему-нибудь
konduktanco  : проводимость
konduti      : вести себя
konfederacio : конфедерация
konfedero    : конфедерация
konferencio  : конференция; совещание
konfesi      : признавать; исповедоваться
konfesio     : вероисповедание
konfidi      : доверять что-нибудь
konfirmi     : подтверждать, утверждать
konfiski     : конфисковать, изымать
konflikto    : конфликт, столкновение
konforma     : сообразный, соответствующий
konfuzi      : смущать; приводить в замешательство
kongreso     : съезд; конгресс
kongrui      : совпадать, совмещаться
koni         : знать; быть знакомым; быть осведомленным
konjako      : коньяк
konjekti     : догадываться, предполагать
konkeri      : завоёвывать, покорять
konkludi     : делать вывод, заключать
konkreta     : конкретный
konkurenco   : конкуренция
konkuri      : соревноваться, состязаться
konkurso     : состязание, смотр, конкурс
konscii      : сознавать
konsekri     : посвящать в сан
konsenti     : соглашаться
konservativa : консервативный
konservatorio : консерватория
konservi     : беречь, хранить
konsideri    : обдумывать, рассматривать; учитывать
konsili      : советовать, рекомендовать
konsilio     : совет (учреждение)
konsisti     : состоять
konsoli      : утешать
konsonanto   : согласный звук
konspiri     : конспирировать, замышлять заговор
konstanta    : постоянный
konstati     : подтверждать, констатировать
konsterni    : озадачивать, поражать; приводить в ужас
konstipi     : вызывать запор
konstitucio  : конституция
konstitui    : основывать, учреждать
konstrui     : строить
konstukcio   : конструкция
konsulti     : консультироваться
kontakto     : общение, контакт, соприкосновение
kontempli    : рассматривать, созерцать
kontenta     : довольный, удовлетворённый
kontesti     : опровергать, оспаривать
kontinento   : континент
kontingento  : состав, контингент
kontinua     : непрерывный, сплошной
kontrakti    : договариваться; заключить договор, контракт
kontrasto    : контраст, противоположность
kontraux     : против, напротив
kontribui    : содействовать; вносить вклад; способствовать
kontroli     : проверять, контролировать
konturo      : очертание, контур
kontuzi      : контузить; ушибить
konvena      : подходящий, уместный
konvergxi    : сосредотачиваться, сходиться
konversacii  : беседовать, разговаривать
konversi     : беседовать, разговаривать
konvinki     : убеждать, уверять
kooperativo  : кооператив
kopeko       : копейка
kopio        : копия
korbo        : корзина
kordo        : струна
korekti      : исправлять, корректировать
korelativa   : соотносительный, коррелятивный
korespondi   : переписываться; соответствовать
koridoro     : коридор
koro         : сердце
korolario    : вывод, следствие; результат
korpo        : корпус; тело
korto        : двор
korvo        : ворон
kosmo        : космос
kosmonauxto  : космонавт
kosti        : стоить
kostumo      : костюм
kosxmaro     : кошмар
kotizo       : членский взнос, доля
koto         : грязь; сор
kotono       : хлопок
koverto      : конверт
kovri        : закрывать, покрывать
kracxi       : плевать
krajono      : карандаш
krampo       : скобка; скоба
kravato      : галстук
kredenco     : сервант
kredi        : верить
krei         : создавать, творить;  образовывать
kremlo       : кремль
krepusko     : сумерки
kreski       : расти
krestomatio  : хрестоматия
kreteno      : кретин, слабоумный
kreto        : мел
krevi        : лопаться, трескаться
kribri       : просеивать
krii         : кричать
krimo        : преступление
kripla       : искалеченный, увечный
krispa       : курчавый, вьющийся
kristalo     : кристалл, хрусталь
kriterio     : мерило, критерий
kritiki      : критиковать
krizo        : кризис
krocxi       : прикреплять, цеплять; вешать, подвешивать
krokodilo    : крокодил
krom         : кроме
kronika      : хронический
krono        : корона, венец; крона
kruco        : крест
kruda        : необработанный, сырой; суровый, грубый
kruela       : жестокий, свирепый
kruro        : нога (от колена до ступни)
krusto       : кора, корка
kruta        : крутой, отвесный; резкий
kubo         : куб
kudri        : шить
kuiri        : варить; готовить пищу
kuko         : пирожок, пирог
kukolo       : кукушка
kukumo       : огурец
kulero       : ложка
kulpa        : виноватый, виновный
kulto        : обожествление, культ
kulturo      : культура
kun          : с, с помощью
kuniklo      : кролик
kupeo        : купе
kupro        : медь
kuraci       : лечить
kuragxa      : смелый, храбрый
kurbo        : кривая
kuri         : бежать
kurioza      : занятный, курь„зный
kurso        : курс; курсы
kurta        : короткий
kurteno      : занавес, занавеска
kuseno       : подушка
kusxi        : лежать
kutime       : обычно
kutimo       : обычай, привычка
kuvo         : ванна, чан
kuzo         : двоюродный брат
kvadrato     : квадрат
kvaki        : квакать, крякать
kvalifiki    : квалифицировать
kvalito      : качество, свойство
kvankam      : хотя
kvanto       : количество, величина
kvar         : четыре
kvartalo     : район; квартал
kvarteto     : квартет
kvazaux      : будто, как бы
kvereli      : ссориться
kveri        : ворковать
kvieta       : кроткий, спокойный; тихий
kvin         : пять
kvita        : свободный от долга
kvitanco     : расписка, квитанция
kvizo        : викторина
kvociento    : частное
kvorumo      : кворум
kvoto        : квота, доля, часть
la           : (определённый артикль)
laboratorio  : лаборатория
labori       : работать, трудиться
laca         : усталый
lacerto      : ящерица
lado         : жесть
lafo         : лава
lago         : озеро
lakso        : понос
lakto        : молоко
lamenti      : жаловаться; горевать; причитать
lampo        : лампа
lancxi       : вводить; начинать; спускать
lando        : местность; страна
lango        : язык (анатом. понятие)
langvoro     : истома, томление; нега
lano         : шерсть
lanta        : медленный
lanterno     : фонарь
lardo        : сало
largxa       : обширный, широкий
larmo        : слеза
lasi         : оставлять, покидать
lasta        : последний
lato         : планка, рейка, дранка
laux         : по, согласно
lauxdi       : хвалить, восхвалять
lauxreato    : лауреат
lauxro       : лавр
lauxta       : voĉo           громкий голос
lavango      : лавина
lavi         : мыть, умывать; стирать
lazura       : лазурный
leciono      : урок, лекция, занятие
legendo      : легенда
legi         : читать
legitimi     : узаконить, удостоверить
legomo       : овощ
legxera      : доступный; изящный; лёгкий; слабый
legxo        : закон
lekcio       : лекция
leksiko      : лексика, словарь
leono        : лев
leporo       : заяц
lerni        : учиться; изучать
lerta        : искусный, ловкий, умелый
letero       : письмо
levi         : повышать, поднимать
li           : он
libera       : свободный; независимый; незанятый
libido       : половое влечение
libro        : книга
lifto        : лифт
ligi         : завязать; связать
ligno        : древесина
ligo         : лига, союз
likvidi      : ликвидировать, уничтожать
limo         : граница, предел
lingvistiko  : языкознание
lingvo       : язык (средство общения)
linio        : линия, черта; строка
linko        : рысь
lino         : лён
lipo         : губа
liriko       : лирика
liro         : лира
listo        : список, опись, перечень
literaturo   : литература
litero       : буква
lito         : кровать; постель
liveri       : доставлять, поставлять
logi         : приманивать; завлекать
logiko       : логика
logxi        : обитать, проживать
loko         : место; местность
longa        : длинный; долгий, продолжительный
loterio      : лотерея
ludi         : играть
lui          : снимать, нанимать; брать напрокат
lukso        : великолепие, пышность, роскошь
lukti        : бороться
luli         : убаюкивать, укачивать
lumi         : светить
lundo        : понедельник
luno         : луна, месяц
lupo         : волк
lupolo       : хмель
lustro       : люстра
macxi        : жевать, пережёвывать
magazeno     : магазин
magio        : магия, волшебство, колдовство
magneto      : магнит
magnetofono  : магнитофон
magra        : скудный; худой
majesta      : величественный
majo         : май
majstro      : мастер; знаток; учитель
majusklo     : прописная буква
makabra      : мрачный, погребальный
maksimumo    : максимум
makulo       : пятно
maleolo      : лодыжка
malgraux     : несмотря на
malica       : злой, зловредный; коварный
mamo         : женская грудь
mangxi       : есть
maniero      : манера, при„м, способ
manifestacio : шествие, демонстрация
manifesti    : обнаруживать, проявлять
maniko       : рукав
manio        : мания
manipuli     : управлять, манипулировать
manki        : недоставать, отсутствовать
mano         : рука; кисть
manovri      : действовать; маневрировать
mantelo      : плащ
manuskripto  : рукопись
mapo         : карта (географическая)
mardo        : вторник
marko        : метка, марка
marmoro      : мрамор
maro         : море
marsxalo     : маршал
marsxi       : маршировать, шагать; ходить
martelo      : молот, молоток
marto        : март
masagxo      : массаж
masivo       : массив
masko        : маска
maso         : масса
masoni       : класть из камня
mastro       : хозяин, владелец
masxino      : станок; машина, механизм
matematiko   : математика
mateno       : утро
materialo    : материал
matroso      : матрос
matura       : зрелый, спелый; взрослый
mauxzoleo    : мавзолей
meandro      : извилина, изгиб
meblo        : мебель
mecenato     : меценат
medaliono    : медальон
medicino     : медицина
medikamento  : лекарство, медикамент
medio        : окружение, среда; сфера, обстановка
mediti       : обдумывать, размышлять
megafono     : громкоговоритель; рупор, мегафон
mejlo        : миля
melankolio   : грусть, меланхолия
melki        : доить
melodio      : мелодия
melono       : дыня
mem          : сам
membro       : член
memori       : помнить
mencii       : упоминать
mendi        : заказывать
menso        : ум, интеллект; дух
mensogi      : лгать, обманывать
mentono      : подбородок
menuo        : меню
mergi        : окунать, погружать
merito       : достоинство, заслуга
merkato      : рынок сбыта; спрос и предложение
merkredo     : среда
mesagxo      : послание; сообщение
metabolo     : обмен веществ
metaforo     : метафора
metalo       : металл
metalurgio   : металлургия
metamorfozo  : метаморфоза, перевоплощение, превращение
meti         : класть, помещать, ставить
metio        : ремесло, промысел
metodo       : метод, способ
metro        : метр
metroo       : метро
metropolio   : столица, метрополия
mezo         : середина
mezuri       : мерить, измерять
mi           : я
miasmo       : миазм, скверна
mielo        : мёд
mieno        : мина, выражение лица
migri        : мигрировать, странствовать
mikrofono    : микрофон
miksi        : смешивать, перемешивать
miksturo     : микстура
mil          : тысяча
milda        : кроткий, мягкий; умеренный
milico       : милиция
miliono      : миллион
militi       : воевать
minaci       : грозить, угрожать
minca        : тонкий
mineralo     : минерал
miniaturo    : миниатюра
ministerio   : министерство
ministro     : министр
mino         : залежь, рудная жила, пласт; мина
minora       : минорный, грустный
minus        : минус
minusklo     : строчная буква
minuto       : минута
miopa        : близорукий
miraklo      : чудо
miri         : удивляться, изумляться
miriado      : мириады
misio        : миссия
mistero      : тайна, таинственность
mitingo      : митинг
mizerikordo  : милосердие, сострадание
mizero       : бедность, нужда
modelo       : образец, модель; макет
modera       : сдержанный, скромный
moderna      : новый, современный
modesta      : непритязательный, скромный
modifi       : видоизменять, модифицировать
modo         : мода
moki         : высмеивать, издеваться
mola         : мягкий
molesti      : надоедать, приставать; преследовать
momento      : момент, мгновение
monarko      : монарх
monato       : месяц
mondo        : мир, вселенная; общество
mono         : деньги
monologo     : монолог
monopolo     : монополия
monotona     : монотонный, однообразный
monstro      : монстр, чудовище
monto        : гора
montri       : показывать, указывать;  выявлять, обнаруживать
monumento    : монумент, памятник
moralo       : мораль, нравственность
mordi        : кусать; жалить;   разъедать
morfologio   : морфология
morgaux      : завтра
morna        : мрачный, хмурый
moro         : обычай; нравы
morti        : умирать
motelo       : мотель
motivo       : мотив, повод
motoro       : мотор, двигатель
movi         : двигать, передвигать;   шевелить
mueli        : дробить; молоть, толочь
mugxi        : реветь
multe        : много
mungi        : сморкаться
murdi        : убивать
murmuri      : бормотать; журчать; роптать; шуметь
muskolo      : мышца
muso         : мышь
musxo        : муха
muta         : беззвучный; немой, онемевший, умолкший
mutuala      : взаимный, обоюдный
muzeo        : музей
muziko       : музыка
muzulmano    : мусульманин
naciismo     : национализм
nacio        : национальность; нация
nafto        : нефть
nagxi        : плавать
naiva        : наивный, простодушный
najbaro      : сосед
najlo        : гвоздь
najtingalo   : соловей
narkotiko    : наркотик
naski        : порождать; рожать
naturismo    : натурализм
naturisto    : натуралист
naturo       : природа
naux         : девять
nauxzi       : тошнить; вызывать отвращение
navigi       : плыть на судне
nazio        : нацист
nazo         : нос
ne           : не; нет
nebulo       : туман
necesa       : необходимый, нужный
negativa     : отрицательный
neglekti     : пренебрегать
negoco       : коммерция, бизнес
negro        : негр
negxo        : снег
nek          : ни
nekrologo    : некролог
nenia        : никакой
nenial       : нипочему, незачем, ни за что
neniam       : никогда
nenie        : нигде
neniel       : никак
nenien       : никуда
nenies       : ничей
nenio        : ничто
neniom       : нисколько
neniu        : никто
neologismo   : новое слово, неологизм
neono        : неон
nepo         : внук
nepre        : непременно, обязательно
nervo        : нерв
nervoza      : нервный
nesto        : гнездо
neta         : беловой, чистовой; чёткий; чистый (о весе, доходе)
neuxtrala    : нейтральный
nevo         : племянник
ni           : мы
nigra        : чёрный
nivelo       : уровень
nobelo       : дворянин
nobla        : благородный, великодушный
noci         : вредить
nocio        : понятие
nokto        : ночь
nombro       : число, количество
nomo         : имя; фамилия; название
nordo        : север
normala      : нормальный, обычный, типичный
normo        : норма; образец, эталон
noto         : заметка, запись; примечание
nova         : новый
novalo       : пар (поле под паром), целина
novelo       : новелла, рассказ; повесть
novembro     : ноябрь
nu           : ну
nuanco       : оттенок, нюанс
nubo         : облако
nuda         : голый, обнажённый
nukleo       : ядро атома, ядро клетки
nuko         : затылок
nukso        : орех
nulo         : нуль
numero       : номер
nun          : сейчас, теперь
nupto        : бракосочетание, свадьба
nur          : лишь, только
nutri        : кормить, питать
oazo         : оазис
obei         : повиноваться, слушаться
obelisko     : обелиск
objekto      : объект, вещь, предмет
objxeti      : возражать
observi      : наблюдать; следовать; соблюдать
obskura      : мрачный, тёмный; неясный,  смутный; неопрятный
obstaklo     : помеха, препятствие
obstina      : настойчивый, упорный;  упрямый
obstrukco    : обструкция; закупорка, затор, завал, преграда
obtuza       : глухой, приглушенный,   притуплённый
oceano       : океан
odori        : пахнуть
ofendi       : обижать; оскорблять
ofensivo     : наступление
oferi        : жертвовать
oferti       : предлагать
oficiala     : официальный
oficiro      : офицер
ofico        : должность, служба
ofta         : многократный, частый
oho          : ага, ох
ok           : восемь
okazi        : происходить, случаться
okcidento    : запад
oktobro      : октябрь
okulo        : глаз
okupi        : занимать; оккупировать
ol           : чем (при сравнении)
olda         : старый (о человеке)
oleo         : масло
olimpa       : олимпийский
omagxo       : почтение, уважение; признательность
ombrelo      : зонтик
ombro        : тень
ondo         : волна
onklo        : дядя
oni          : (безличный оборот [говорят - oni говорят])
onomatopeo   : звукоподражание
operacii     : оперировать
opinii       : думать, полагать
oponi        : возражать, оппонировать
oportuna     : удобный, подходящий
optimismo    : оптимизм
orakolo      : оракул; предсказание, пророчество
orangxo      : апельсин
oratoro      : оратор
ordeno       : орден
ordinara     : простой, обычный, заурядный
ordo         : порядок
ordoni       : приказывать, предписывать
orelo        : ухо
orfo         : сирота
organismo    : организм
organizi     : организовать
organo       : орган
orgojlo      : надменность, спесь, чванство
orienti      : ориентировать
oriento      : восток
orkestro     : оркестр
ornami       : украшать, наряжать
oro          : золото
ortografio   : орфография
oscedi       : зевать
osto         : кость
ovo          : яйцо
ozono        : озон
pacienca     : терпеливый
paco         : мир, покой
pado         : дорожка, тропинка
pafi         : стрелять
pagi         : платить
pagxo        : страница
pajlo        : солома
paki         : укладывать; упаковывать
pako         : пакет;  упаковка, тюк
pala         : бледный
palaco       : дворец
palatalo     : палатальный, нёбный звук (мягкое произношение)
palato       : нёбо
palavro      : многословие, разглагольствование
paletro      : палитра
palmo        : пальма
palpebro     : веко
palto        : пальто
panelo       : панель, пульт, табло; панно
paniko       : паника
pano         : хлеб
panoramo     : панорама
pantalono    : брюки, шаровары, штаны
pantoflo     : тапочка, чувяк
papero       : бумага
parabolo     : парабола; притча
paradi       : проходить строем; выставлять напоказ, щеголять
paradizo     : рай
paradokso    : парадокс
paralelo     : параллель
paralizi     : парализовать
parametro    : параметр
parazito     : паразит
pardoni      : извинить, простить
parenco      : родственник
parkere      : наизусть
parko        : парк
parlamento   : парламент
paro         : пара, чета
parodio      : пародия
paroksismo   : пароксизм, припадок, приступ
paroli       : говорить
paronimo     : пароним
participo    : причастие
partio       : партия
parto        : доля, часть
pasagxero    : пассажир
paseo        : прошедшее время, прошлое
pasero       : воробей
pasi         : проходить, переходить
pasio        : пыл, страсть
pasiva       : пассивный
pasporto     : паспорт
pastro       : пастор, священник
pasxi        : ходить, шагать
pasxti       : пасти
patento      : патент
pato         : сковорода; пат
patoso       : пафос, воодушевление
patriarko    : патриарх
patrioto     : патриот
patro        : отец
pauxti       : дуться, быть недовольным
pauxzo       : пауза, перерыв
pavo         : павлин
peco         : часть, кусок; отрывок; деталь
pedagogio    : педагогика
pedagogo     : педагог, учитель
pedanto      : педант
pejzagxo     : пейзаж, вид
peki         : грешить
pekli        : солить, засаливать; заготавливать впрок
peli         : гнать, подгонять, двигать; преследовать
pelto        : шуба; выделанный мех
pelvo        : таз
pendi        : висеть
penetri      : проникать
peni         : пытаться, стараться
peniko       : кисть, кисточка
pensi        : думать, полагать
pensio       : пенсия
penti        : каяться
pentri       : рисовать, писать красками
per          : посредством
percepti     : воспринимать, ощущать,
perdi        : лишаться, терять
perei        : погибать
perfekta     : совершенный, безупречный
perfidi      : изменять, предавать
perifrazi    : описать, пересказать
periodo      : период
perlo        : жемчуг
permesi      : позволять, разрешать
perpleksi    : приводить в недоумение, ставить в тупик
persekuti    : преследовать, подвергать гонениям
persiko      : персик
persisti     : настаивать, упорствовать
persono      : персона, личность, человек
perspektivo  : перспектива
persvadi     : убеждать, уговаривать
peruko       : парик
pesi         : взвешивать
pesimismo    : пессимизм
pesto        : чума
peti         : просить
petoli       : баловаться, шалить, резвиться
petrolo      : нефть, нефтепродукты (керосин, бензин)
petroselo    : петрушка
petskribo    : заявление
pezi         : весить, иметь вес
pia          : благочестивый, набожный
piano        : пианино, фортепиано
piceo        : ель
piedo        : нога; ступня; ножка
pigo         : сорока
pigra        : ленивый
pijxamo      : пижама
piki         : жалить; кусать; колоть, протыкать
pilgrimi     : паломничать, странствовать
pilko        : мяч
piloto       : пилот, летчик, лоцман
pincxi       : захватывать, сжимать, щипать
pinto        : кончик, острие, шпиль, вершина, верхушка, пик
pioniro      : пионер
pipro        : перец
pirozo       : изжога
pitoreska    : живописный
pizo         : горох
placo        : площадь
placxi       : нравиться
plado        : блюдо (еда и посуда)
plafono      : потолок
plagxo       : пляж
plando       : подошва
planedo      : планета
planko       : пол, настил
plano        : план
planti       : сажать
planto       : растение
plasto       : пластик, пластмасса
plata        : плоский, ровный
pledi        : защищать
plej         : самый (наиболее)
plekti       : завязывать, заплетать, плести, обвивать
plena        : полный, наполненный, переполненный
plendi       : жаловаться, сетовать
pleto        : поднос
plezuro      : удовольствие
pli          : более, больше
plongxi      : нырять
plori        : плакать
plu          : более, больше; далее, дальше
plugi        : бороздить, пахать
plumbo       : свинец
plumo        : перо
pluraj       : многие
plus         : плюс
pluvo        : дождь
po           : по
pocio        : микстура, питье
podio        : подмостки, помост, эстрада
poemo        : поэма
poeto        : поэт
poezio       : поэзия
pokaj        : немногие
pokalo       : бокал, кубок
polarizi     : поляризовать
polico       : полиция
polietileno  : полиэтилен
poligloto    : полиглот
politiko     : политика
poluro       : блеск, лоск; глянец, полировка
poluso       : полюс
polvo        : пыль
pomo         : яблоко
pompo        : великолепие, пышность;  торжественность
ponardo      : кинжал
ponto        : мост
popolo       : народ
populara     : популярный
por          : для
porcio       : порция, паек
pordo        : дверь
porko        : кабан, свинья
porti        : носить
portreto     : портрет
posedi       : владеть, обладать
post         : за, после, через, позади
posteno      : должность, пост
postuli      : требовать
posxo        : карман
posxto       : почта
potencialo   : потенциал
potenco      : власть, господство, могущество
povi         : мочь
povra        : бедный
pozi         : позировать
pozicio      : позиция; положение
pozitiva     : положительный
pragmata     : прагматический
praktiko     : практика, занятие, опыт
prava        : правильный, правый
precedenco   : прецедент
precipe      : главным образом, преимущественно
precipiti    : осаждать, отлагать
preciza      : определенный, точный, ясный
prediki      : проповедовать
prefikso     : префикс, приставка
pregxi       : молиться
prelego      : доклад, лекция
premi        : давить, жать, подавлять, угнетать, тяготить
premio       : премия, награда, приз
premiso      : залог, предпосылка
preni        : брать; воспринимать; нанимать
prepari      : готовить
prepozicio   : предлог
presi        : печатать
preskaux     : почти
preskribi    : предписывать, прописывать
prestigxo    : престиж, авторитет; репутация
preta        : готовый
preteksto    : повод, предлог
pretendi     : претендовать; предъявлять права
preter       : мимо
preterito    : прошедшее время
preventi     : предупреждать, предотвращать
prezenti     : представлять; знакомить; играть, исполнять
prezidento   : президент
prezidi      : председательствовать
prezidio     : президиум
prezo        : цена
pri          : о, об, про
primitiva    : простой, примитивный
principo     : принцип
printempo    : весна
prioritato   : приоритет
prismo       : призма
privata      : личный, частный
privilegio   : привилегия, преимущество; льгота
prizono      : тюрьма
pro          : из-за, ради
probabla     : вероятный
problemo     : проблема, вопрос, задача
procedo      : приём, способ
procento     : процент
procesio     : процессия
proceso      : юридический процесс
procezo      : процесс, смена событий
produkti     : производить, создавать
produkto     : продукт
profano      : профан, невежда
profesio     : профессия
profesoro    : профессор
profeto      : пророк
profilo      : профиль
profito      : выгода, польза, прибыль
profunda     : глубокий
programo     : программа
progresi     : прогрессировать
projekto     : проект
prokrasti    : переносить, откладывать
proksima     : близкий
proleto      : пролетарий
prologo      : пролог
promeni      : гулять, прогуливаться
promesi      : обещать
pronomo      : местоимение
prononci     : произносить
propagandi   : пропагандировать
propagi      : распространять
proponi      : предлагать
proporcio    : пропорция
propozicio   : предложение (фраза)
propra       : собственный
proskripcio  : изгнание, высылка
prospekto    : проспект (описание)
prosperi     : процветать, преуспевать
proteino     : белок, протеин
protekti     : охранять, предохранять; покровительствовать
protesti     : возражать, протестовать
protokolo    : протокол
proverbo     : пословица, поговорка
provi        : пробовать, испытывать, примерять
provinco     : провинция
provizi      : запасать; снабжать
provizora    : временный
provoso      : тюремный надзиратель
prozo        : проза
prudenta     : благоразумный, предусмотрительный
prunti       : взять взаймы
pruvi        : доказывать
pseuxdonimo  : псевдоним
psiko        : психика
psikologio   : психология
publici      : публиковать, выступать в печати
publiko      : публика, общественность
pucxo        : путч
pufa         : вздутый; пухлый; напыщенный
pugno        : кулак
pugo         : ляжка, круп, зад
pulo         : блоха
pulover      : пуловер
pulso        : пульс
puni         : наказывать
punkto       : точка; место
pupitro      : пюпитр; пульт; кафедра
pupo         : кукла
pura         : чистый
purpuro      : багрянец, пурпур
pusxi        : толкать
putino       : проститутка, шлюха
putri        : гнить, разлагаться, портиться
puzlo        : головоломка
rabato       : скидка, льгота, уступка в цене
rabi         : грабить; отнимать;  расхищать
racio        : разум, здравый смысл
radikalo     : радикальный
radiko       : корень
radio        : радио; луч
radioaktiva  : радиоактивный
radiofonio   : радиовещание, радиофония
rado         : колесо
rafini       : рафинировать, очищать
rajdi        : ездить верхом
rajto        : право
raketo       : ракета
rakonti      : рассказывать
rampi        : ползать; пресмыкаться;  унижаться
rando        : край, кромка
rango        : степень, ранг, чин
rano         : лягушка
rapida       : быстрый, скорый
raporti      : рапортовать, докладывать
rara         : редкий
raso         : раса
rauxka       : хриплый
ravi         : восхищать, очаровывать
razi         : брить
reakcio      : реакция
reala        : реальный, действительный
recenzi      : рецензировать
recepto      : рецепт
reciproka    : взаимный
redakcio     : редакция
redakti      : редактировать
redaktoro    : редактор
reflekso     : рефлекс
reflekti     : отражать
reflektoro   : рефлектор
reformatoro  : реформатор
refrakti     : преломлять
refuti       : отвергать, отклонять,  опровергать
regali       : угощать
regi         : править, управлять; владеть языком
regiono      : область
registri     : регистрировать, записывать
regno        : государство
regresi      : регрессировать
regula       : регулярный; правильный
regulo       : правило
regximo      : государственный строй; режим
